"menu_item_id","region","crust","size","variable","value","radius","area","px_inc"
" 7415893","West","thin","15","zero_topping_px","21"," 8","177","0.119"
" 1883774","South","hand-tossed","14","four_topping_px","10"," 7","154","0.065"
" 7923977","Midwest","hand-tossed","16","two_topping_px","16"," 8","201","0.082"
" 7061437","South","hand-tossed","12","zero_topping_px"," 7"," 6","113","0.062"
" 6606504","West","stuffed","16","zero_topping_px","20"," 8","201","0.099"
" 8936631","Midwest","hand-tossed","12","one_topping_px","14"," 6","113","0.126"
" 3287317","West","thin","12","three_topping_px","35"," 6","113","0.309"
" 9091745","Midwest","hand-tossed","10","four_topping_px"," 5"," 5"," 79","0.063"
" 6380608","Midwest","stuffed","10","four_topping_px","14"," 5"," 79","0.172"
" 2116746","Midwest","stuffed","10","one_topping_px","14"," 5"," 79","0.184"
"10568161","Northeast","thin","10","four_topping_px","14"," 5"," 79","0.178"
" 8797756","Midwest","thin","24","zero_topping_px","24","12","452","0.054"
" 9935469","West","thin","18","one_topping_px","18"," 9","254","0.069"
" 1643565","Midwest","thin","18","four_topping_px","18"," 9","254","0.071"
" 8463525","Northeast","thin","16","four_topping_px","20"," 8","201","0.102"
" 9376485","Midwest","thin","16","one_topping_px","17"," 8","201","0.085"
" 8935599","Midwest","thin","16","zero_topping_px","25"," 8","201","0.124"
" 7128918","South","hand-tossed","14","zero_topping_px","12"," 7","154","0.078"
" 9919010","South","stuffed","16","two_topping_px"," 7"," 8","201","0.035"
" 1634689","Midwest","thin","11","three_topping_px"," 8"," 6"," 95","0.080"
" 9415880","Northeast","hand-tossed","16","four_topping_px","20"," 8","201","0.099"
" 9807196","South","hand-tossed","10","four_topping_px"," 7"," 5"," 79","0.089"
"10222224","Midwest","hand-tossed","10","two_topping_px"," 4"," 5"," 79","0.051"
" 2902230","Midwest","thin","20","one_topping_px","23","10","314","0.075"
" 5067632","Northeast","hand-tossed","14","one_topping_px","11"," 7","154","0.071"
" 1941817","West","hand-tossed","18","four_topping_px","21"," 9","254","0.083"
" 9114101","Midwest","hand-tossed","18","zero_topping_px","18"," 9","254","0.071"
" 5392988","Midwest","thin","14","one_topping_px","12"," 7","154","0.078"
"  341540","Midwest","thin","18","one_topping_px","17"," 9","254","0.067"
" 9575077","Northeast","thin","12","three_topping_px","11"," 6","113","0.097"
" 1392059","Midwest","thin","14","two_topping_px","15"," 7","154","0.096"
"   29326","Midwest","stuffed","14","two_topping_px","20"," 7","154","0.128"
"10387822","Northeast","thin","14","four_topping_px"," 9"," 7","154","0.058"
"  964456","Midwest","stuffed"," 9","zero_topping_px","15"," 4"," 64","0.236"
"11984915","West","thin","16","zero_topping_px","12"," 8","201","0.062"
" 8832545","Midwest","deep dish","12","two_topping_px","12"," 6","113","0.108"
"11759809","Midwest","thin","10","one_topping_px"," 7"," 5"," 79","0.089"
" 3285276","Midwest","thin","14","one_topping_px","11"," 7","154","0.071"
" 7062496","Midwest","hand-tossed","14","zero_topping_px","13"," 7","154","0.084"
" 9142371","South","hand-tossed","12","zero_topping_px","15"," 6","113","0.137"
"10687550","West","thin","16","three_topping_px","18"," 8","201","0.090"
" 1978673","South","hand-tossed","16","three_topping_px","15"," 8","201","0.075"
"11867957","Northeast","thin","18","zero_topping_px","16"," 9","254","0.063"
" 9097954","Midwest","thin","14","four_topping_px","12"," 7","154","0.078"
" 8060860","Northeast","thin","10","four_topping_px","10"," 5"," 79","0.131"
"  436410","Northeast","hand-tossed","10","zero_topping_px","10"," 5"," 79","0.134"
"10333372","Northeast","hand-tossed","12","two_topping_px","10"," 6","113","0.088"
" 6191889","Midwest","thin","18","four_topping_px","18"," 9","254","0.071"
" 9813858","South","thin","10","two_topping_px"," 9"," 5"," 79","0.114"
