date,Total,Construction,Manufacturing,Retail trade,Professional and business services,Leisure and hospitality,Government
2/1/2010,45.53663571,21.30681818,38.05970149,60.3960396,40.36568214,62.45847176,39.17525773
3/1/2010,44.89233851,23.12138728,33.99209486,46.91558442,40.26666667,57.9778831,37.33333333
4/1/2010,48.5237484,18.98016997,38.1147541,60.73943662,43.32386364,59.45945946,35.06944444
5/1/2010,45.80211832,16.95402299,39.25233645,59.53757225,40.2739726,59.87261146,30.76923077
6/1/2010,44.9809705,21.66666667,40.50632911,54.25531915,47.85522788,53.56037152,23.51851852
7/1/2010,43.74405328,20.56338028,37.6984127,58.2437276,42.19948849,53.72262774,26.47058824
8/1/2010,45.79133065,26.2195122,40.07633588,52.38970588,46.91876751,58.76777251,26.55889145
9/1/2010,47.88768024,25.0755287,40.41666667,61.30841121,46.13297151,60.16260163,30.52631579
10/1/2010,49.17690097,21.38728324,37.12121212,59.92438563,51.1821975,59.18057663,39.8467433
11/1/2010,46.43402955,16.10942249,38.37209302,58.71886121,43.81368268,58.82352941,33.76205788
12/1/2010,48.40701408,22.46376812,40.23904382,58.57988166,44.25634825,64.95867769,36.39455782
1/1/2011,47.04203425,20.06472492,42.73504274,50.56818182,46.46074646,59.14826498,42.32209738
2/1/2011,49.45511157,21.26984127,40.43478261,57.30337079,49.48051948,61.52542373,40.67164179
3/1/2011,48.92974062,21.23893805,44.12955466,59.35251799,47.08121827,57.18432511,39.24528302
4/1/2011,49.78632479,28.89518414,45.25862069,61.08949416,45.35031847,62.19312602,36.97183099
5/1/2011,48.88777806,25.14792899,42.62948207,63.42342342,43.09927361,56.62100457,40
6/1/2011,47.05733771,21.09589041,45.06437768,61.77024482,42.19143577,60.27190332,36.996337
7/1/2011,49.35654807,22.65372168,44.63519313,56.06617647,48.23677582,57.12209302,44.58598726
8/1/2011,49.98772404,20.83333333,40,59.81818182,46.30952381,62.53561254,43.00699301
9/1/2011,49.57055215,23.37278107,42.48927039,59.14742451,47.16525935,57.75034294,38.98916968
10/1/2011,48.67457713,23.79421222,47.57709251,61.88679245,43.22033898,56.90184049,40.64748201
11/1/2011,49.22813036,31.875,50.42735043,56.46387833,46.49122807,54.32960894,40.50632911
12/1/2011,49.94992489,22.71186441,46.41350211,64.79690522,46.00760456,57.18390805,43.03797468
